name,district,lat,lng,tag
周浦东,浦东新区,31.1158,121.613533,地铁站
康新公路,浦东新区,31.136033,121.62383,地铁站
康新公路,浦东新区,31.136033,121.62383,地铁站
汇金路,青浦区,31.16694,121.158335,地铁站
青浦新城,青浦区,31.164518,121.131697,地铁站
漕盈路,青浦区,31.16665,121.10271,地铁站
赵巷,青浦区,31.16745,121.198722,地铁站
徐盈路,青浦区,31.184087,121.261216,地铁站
徐泾北城,青浦区,31.181269,121.248372,地铁站
嘉松中路,青浦区,31.170012,121.231307,地铁站
九亭,松江区,31.143844,121.325378,地铁站
蟠龙路,青浦区,31.192847,121.28601,地铁站
龙柏新村,闵行区,31.182886,121.37699,地铁站
合川路,闵行区,31.172225,121.391169,地铁站
七宝,闵行区,31.161393,121.356049,地铁站
东兰路,闵行区,31.160907,121.398733,地铁站
顾戴路,闵行区,31.146669,121.398948,地铁站
虹莘路,闵行区,31.142943,121.38597,地铁站
航中路,闵行区,31.171619,121.361249,地铁站
紫藤路,闵行区,31.175533,121.37097,地铁站
星中路,闵行区,31.163862,121.375571,地铁站
中春路,闵行区,31.155954,121.344743,地铁站
上海南站,徐汇区,31.160423,121.436696,地铁站
锦江乐园,徐汇区,31.148312,121.42068,地铁站
漕河泾开发区,徐汇区,31.17622,121.404164,地铁站
漕宝路,徐汇区,31.174604,121.440961,地铁站
石龙路,徐汇区,31.164304,121.44963,地铁站
宜山路,徐汇区,31.192588,121.433806,地铁站
虹梅路,闵行区,31.166073,121.403932,地铁站
地铁梅陇基地,徐汇区,31.157508,121.430794, 
上海游泳馆,徐汇区,31.185365,121.448026,地铁站
龙华,徐汇区,31.179259,121.459229,地铁站
桂林公园,徐汇区,31.173038,121.425093,地铁站
龙华,徐汇区,31.179259,121.459229,地铁站
桂林路,徐汇区,31.181001,121.424982,地铁站
上海体育场,徐汇区,31.19218,121.450248,地铁站
漕溪路,徐汇区,31.182978,121.444739,地铁站
上海体育馆,徐汇区,31.188814,121.443402,地铁站
龙华,徐汇区,31.180111,121.459147,地铁站
龙漕路,徐汇区,31.176283,121.45062,地铁站
上海游泳馆,徐汇区,31.185365,121.448026,地铁站
虹漕路,徐汇区,31.170066,121.41697,地铁站
东明路,浦东新区,31.17825,121.517488,地铁站
高科西路,浦东新区,31.191286,121.516396,地铁站
云锦路,徐汇区,31.17265,121.464914,地铁站
龙耀路,徐汇区,31.166117,121.466,地铁站
东方体育中心,浦东新区,31.159351,121.487012,地铁站
中华艺术宫,浦东新区,31.19134,121.500749,地铁站
世博大道,浦东新区,31.188231,121.490937,地铁站
后滩,浦东新区,31.177884,121.480035,地铁站
长清路,浦东新区,31.18033,121.492645,地铁站
云台路,浦东新区,31.187813,121.507205,地铁站
杨思,浦东新区,31.16671,121.50029,地铁站
成山路,浦东新区,31.176478,121.50273,地铁站
耀华路,浦东新区,31.184085,121.501124,地铁站
龙耀路,徐汇区,31.166117,121.466,地铁站
云锦路,徐汇区,31.17265,121.464914,地铁站
东方体育中心,浦东新区,31.159351,121.487012,地铁站
三林,浦东新区,31.148688,121.517556,地铁站
上南路,浦东新区,31.154788,121.512956,地铁站
三林,浦东新区,31.148688,121.517556,地铁站
凌兆新村,浦东新区,31.146696,121.496279,地铁站
灵岩南路,浦东新区,31.154367,121.50168,地铁站
龙华中路,徐汇区,31.191322,121.463605,地铁站
锦绣路,浦东新区,31.193767,121.546398,地铁站
御桥,浦东新区,31.164663,121.577365,地铁站
御桥,浦东新区,31.164663,121.577365,地铁站
杨高南路,浦东新区,31.193453,121.531652,地铁站
高青路,浦东新区,31.165247,121.52227,地铁站
浦三路,浦东新区,31.157148,121.54554,地铁站
三林东,浦东新区,31.152393,121.529691,地铁站
浦三路,浦东新区,31.157148,121.54554,地铁站
华夏西路,浦东新区,31.15557,121.521145,地铁站
三林东,浦东新区,31.152393,121.529691,地铁站
秀沿路,浦东新区,31.143725,121.605134,地铁站
华夏中路,浦东新区,31.18115,121.589873,地铁站
罗山路,浦东新区,31.159207,121.599666,地铁站
罗山路,浦东新区,31.159214,121.599696,地铁站
秀沿路,浦东新区,31.143725,121.605134,地铁站
迪士尼,浦东新区,31.147665,121.674752,地铁站
迪士尼,浦东新区,31.147665,121.674752,地铁站
川沙,浦东新区,31.192886,121.704499,地铁站
浦东国际机场,浦东新区,31.156503,121.812652,地铁站
海天三路,浦东新区,31.174953,121.803224,地铁站
虹桥火车站,闵行区,31.20033,121.327908,地铁站
徐泾东,青浦区,31.195432,121.307524,地铁站
金运路,嘉定区,31.247368,121.326035,地铁站
诸光路,青浦区,31.197876,121.299641,地铁站
虹桥2号航站楼,闵行区,31.200617,121.3327,地铁站
淞虹路,长宁区,31.223999,121.365797,地铁站
真北路,普陀区,31.237861,121.388887,地铁站
威宁路,长宁区,31.220484,121.393672,地铁站
水城路,长宁区,31.205074,121.398444,地铁站
龙溪路,长宁区,31.199878,121.386467,地铁站
北新泾,长宁区,31.222104,121.38064,地铁站
丰庄,嘉定区,31.248368,121.362183,地铁站
金沙江西路,嘉定区,31.247399,121.341691,地铁站
祁连山南路,普陀区,31.24317,121.374143,地铁站
上海动物园,长宁区,31.19602,121.374583,地铁站
虹桥1号航站楼,长宁区,31.197476,121.3539,地铁站
常熟路,徐汇区,31.219964,121.456628,地铁站
静安寺,静安区,31.229402,121.453901,地铁站
江苏路,长宁区,31.226546,121.437716,地铁站
中山公园,长宁区,31.224175,121.423065,地铁站
昌平路,静安区,31.240476,121.448746,地铁站
肇嘉浜路,徐汇区,31.205392,121.456463,地铁站
延安西路,长宁区,31.215772,121.423577,地铁站
娄山关路,长宁区,31.216958,121.410818,地铁站
上海图书馆,徐汇区,31.214439,121.450771,地铁站
江苏路,长宁区,31.226732,121.4371,地铁站
徐家汇,徐汇区,31.201202,121.442314,地铁站
宋园路,长宁区,31.202693,121.418434,地铁站
长寿路,普陀区,31.246718,121.444762,地铁站
枫桥路,普陀区,31.248068,121.41754,地铁站
枫桥路,普陀区,31.248068,121.41754,地铁站
交通大学,长宁区,31.208906,121.441394,地铁站
曹杨路,普陀区,31.244107,121.4241,地铁站
隆德路,普陀区,31.236749,121.430167,地铁站
交通大学,长宁区,31.208554,121.440977,地铁站
虹桥路,长宁区,31.203176,121.428043,地铁站
曹杨路,普陀区,31.244796,121.424224,地铁站
衡山路,徐汇区,31.211335,121.45316,地铁站
隆德路,普陀区,31.236733,121.430026,地铁站
武宁路,普陀区,31.240291,121.436675,地铁站
伊犁路,长宁区,31.204634,121.410671,地铁站
金沙江路,普陀区,31.237991,121.419507,地铁站
大渡河路,普陀区,31.237535,121.401707,地铁站
徐家汇,徐汇区,31.200871,121.443173,地铁站
豫园,黄浦区,31.234006,121.4939,地铁站
人民广场,黄浦区,31.238795,121.481022,地铁站
陆家嘴,浦东新区,31.243637,121.508824,地铁站
南京东路,黄浦区,31.243738,121.490857,地铁站
南京西路,静安区,31.236135,121.46678,地铁站
大世界,黄浦区,31.233128,121.485885,地铁站
陕西南路,徐汇区,31.221939,121.465323,地铁站
打浦桥,卢湾区,31.212073,121.475402,地铁站
黄陂南路,卢湾区,31.228753,121.479798,地铁站
新天地,卢湾区,31.221998,121.481686,地铁站
南京西路,静安区,31.23413,121.465932,地铁站
汉中路,闸北区,31.247193,121.46524,地铁站
老西门,黄浦区,31.22473,121.489797,地铁站
嘉善路,徐汇区,31.208616,121.467353,地铁站
淮海中路,卢湾区,31.226198,121.470677,地铁站
南京西路,静安区,31.234645,121.468949,地铁站
